"name","category","description","website","status","updatedAt"
"Grok","AI Assistant","xAI\'s conversational AI with real-time X data and witty responses.","https://lookforit.xyz/tools/grok.html","verified-existing","2026-03-15"
"Google Gemini","AI Assistant","Google\'s flagship multimodal AI integrated with Search and Workspace.","https://lookforit.xyz/tools/google-gemini.html","verified-existing","2026-03-15"
"Leonardo AI","AI Image","AI image generation for concept art, game assets, and product imagery.","https://lookforit.xyz/tools/leonardo-ai.html","verified-existing","2026-03-15"
"ChatGPT","AI Assistant","Conversational AI for drafting, Q&A, coding help, and more.","https://lookforit.xyz/tools/chatgpt.html","verified-existing","2026-03-15"
"Claude","AI Assistant","AI assistant for analysis, writing, reasoning, and coding help.","https://lookforit.xyz/tools/claude.html","verified-existing","2026-03-15"
"Midjourney","AI Image","Text-to-image generation with high-quality artistic outputs.","https://lookforit.xyz/tools/midjourney.html","verified-existing","2026-03-15"
"DALL-E","AI Image","OpenAI\'s text-to-image generator for creative visuals and edits.","https://lookforit.xyz/tools/dall-e.html","verified-existing","2026-03-15"
"Stable Diffusion","AI Image","Open-source text-to-image model for flexible, local, and hosted use.","https://lookforit.xyz/tools/stable-diffusion.html","verified-existing","2026-03-15"
"Perplexity","AI Assistant","Answer-focused AI search engine with cited sources.","https://lookforit.xyz/tools/perplexity.html","verified-existing","2026-03-15"
"GitHub Copilot","AI Code","AI pair programmer for code completion and suggestions.","https://lookforit.xyz/tools/github-copilot.html","verified-existing","2026-03-15"
"Replit Ghostwriter","AI Code","AI coding assistant built into Replit for faster development.","https://lookforit.xyz/tools/replit-ghostwriter.html","verified-existing","2026-03-15"
"Notion AI","AI Productivity","Embedded AI in Notion for writing, summarizing, and tasking.","https://lookforit.xyz/tools/notion-ai.html","verified-existing","2026-03-15"
"Jasper","AI Writing","AI writing assistant for marketing copy and content creation.","https://lookforit.xyz/tools/jasper.html","verified-existing","2026-03-15"
"Canva AI","AI Image","AI-powered design tools including Magic Design and text-to-image.","https://lookforit.xyz/tools/canva-ai.html","verified-existing","2026-03-15"
"Runway","AI Video","AI video and image tools, including text-to-video and inpainting.","https://lookforit.xyz/tools/runway.html","verified-existing","2026-03-15"
"Descript","AI Video","Audio/video editing with AI transcription, overdub, and cleanup.","https://lookforit.xyz/tools/descript.html","verified-existing","2026-03-15"
"ElevenLabs","AI Voice","High-quality AI voice synthesis and cloning.","https://lookforit.xyz/tools/elevenlabs.html","verified-existing","2026-03-15"
"Synthesia","AI Video","AI-generated presenter videos from text scripts.","https://lookforit.xyz/tools/synthesia.html","verified-existing","2026-03-15"
"Llama 3","AI Assistant","Open large language model series for chat and reasoning tasks.","https://lookforit.xyz/tools/llama-3.html","verified-existing","2026-03-15"
"Gemini","AI Assistant","Google\'s multimodal AI for text, vision, and code assistance.","https://lookforit.xyz/tools/gemini.html","verified-existing","2026-03-15"
"Mistral AI","AI Assistant","Open and efficient language models for chat and coding.","https://lookforit.xyz/tools/mistral-ai.html","verified-existing","2026-03-15"
"Hugging Face","AI Assistant","Hub for models, datasets, and Spaces to build and deploy AI.","https://lookforit.xyz/tools/hugging-face.html","verified-existing","2026-03-15"
"LangChain","AI Code","Framework for building LLM-powered apps with chaining and tooling.","https://lookforit.xyz/tools/langchain.html","verified-existing","2026-03-15"
"Zapier AI","AI Automation","Automate workflows with AI steps and natural language triggers.","https://lookforit.xyz/tools/zapier-ai.html","verified-existing","2026-03-15"
"Make.com","AI Automation","No-code automation with AI modules for data enrichment.","https://lookforit.xyz/tools/make-com.html","verified-existing","2026-03-15"
"Airtable AI","AI Productivity","AI-assisted bases for classification, summarization, and text ops.","https://lookforit.xyz/tools/airtable-ai.html","verified-existing","2026-03-15"
"Coda AI","AI Productivity","AI in documents for summaries, tables, and automations.","https://lookforit.xyz/tools/coda-ai.html","verified-existing","2026-03-15"
"Fireflies.ai","AI Productivity","AI meeting assistant for transcription and action items.","https://lookforit.xyz/tools/fireflies-ai.html","verified-existing","2026-03-15"
"Otter.ai","AI Productivity","Meeting transcription and summaries with collaboration.","https://lookforit.xyz/tools/otter-ai.html","verified-existing","2026-03-15"
"Grammarly","AI Writing","Writing assistant for grammar, tone, and clarity.","https://lookforit.xyz/tools/grammarly.html","verified-existing","2026-03-15"
"QuillBot","AI Writing","Paraphrasing and grammar tool with AI rewriting.","https://lookforit.xyz/tools/quillbot.html","verified-existing","2026-03-15"
"Copy.ai","AI Writing","AI copywriting for marketing content and campaigns.","https://lookforit.xyz/tools/copy-ai.html","verified-existing","2026-03-15"
"Writesonic","AI Writing","AI writer for blogs, ads, and product descriptions.","https://lookforit.xyz/tools/writesonic.html","verified-existing","2026-03-15"
"Wordtune","AI Writing","AI rewriting and tone adjustment for clearer text.","https://lookforit.xyz/tools/wordtune.html","verified-existing","2026-03-15"
"Tome","AI Productivity","AI-native presentation and storytelling tool.","https://lookforit.xyz/tools/tome.html","verified-existing","2026-03-15"
"SlidesAI","AI Productivity","Generate slide decks from text using AI.","https://lookforit.xyz/tools/slidesai.html","verified-existing","2026-03-15"
"Gamma","AI Productivity","AI docs and slides with modern layouts.","https://lookforit.xyz/tools/gamma.html","verified-existing","2026-03-15"
"Framer AI","AI Image","Generate web pages and layouts with AI in Framer.","https://lookforit.xyz/tools/framer-ai.html","verified-existing","2026-03-15"
"Figma AI","AI Image","Figma assistants for design automation and asset generation.","https://lookforit.xyz/tools/figma-ai.html","verified-existing","2026-03-15"
"Remove.bg","AI Image","AI background removal for images.","https://lookforit.xyz/tools/remove-bg.html","verified-existing","2026-03-15"
"Cleanup.pictures","AI Image","AI object removal and cleanup for photos.","https://lookforit.xyz/tools/cleanup-pictures.html","verified-existing","2026-03-15"
"RunPod","AI Assistant","On-demand GPU cloud for AI workloads.","https://lookforit.xyz/tools/runpod.html","verified-existing","2026-03-15"
"Replicate","AI Assistant","Host and run machine learning models via API.","https://lookforit.xyz/tools/replicate.html","verified-existing","2026-03-15"
"Modal","AI Assistant","Serverless GPU/CPU for ML inference and workflows.","https://lookforit.xyz/tools/modal.html","verified-existing","2026-03-15"
"Cerebras","AI Assistant","AI compute platform with wafer-scale engines.","https://lookforit.xyz/tools/cerebras.html","verified-existing","2026-03-15"
"AWS Bedrock","AI Assistant","Managed foundation model APIs on AWS.","https://lookforit.xyz/tools/aws-bedrock.html","verified-existing","2026-03-15"
"Azure OpenAI Service","AI Assistant","OpenAI models hosted on Azure with enterprise controls.","https://lookforit.xyz/tools/azure-openai.html","verified-existing","2026-03-15"
"Vertex AI","AI Assistant","Google Cloud\'s platform for training and deploying AI models.","https://lookforit.xyz/tools/vertex-ai.html","verified-existing","2026-03-15"
"Pinecone","AI Assistant","Managed vector database for similarity search.","https://lookforit.xyz/tools/pinecone.html","verified-existing","2026-03-15"
"Weaviate","AI Assistant","Open-source vector database with hybrid search.","https://lookforit.xyz/tools/weaviate.html","verified-existing","2026-03-15"
